codeIataAirport,codeIcaoAirport,Country/Region,Province/State
BNE,YBBN,Australia,Queensland
BNI,DNBE,Nigeria,
BNK,YBNA,Australia,Queensland
BNM,,Papua New Guinea,
BNN,ENBN,Norway,
BNP,,Pakistan,
BNR,DFOB,Burkina Faso,
BNS,SVBI,Venezuela,
BNT,,Papua New Guinea,
BNU,SSBL,Brazil,
BNX,LQBK,Bosnia and Herzegovina,
BOB,NTTB,France,French Polynesia
BOC,MPBO,Panama,
BOD,LFBD,France,
BOG,SKBO,Colombia,
BOH,EGHH,United Kingdom,Channel Islands
BOJ,LBBG,Bulgaria,
BOL,EGQB,United Kingdom,Isle of Man
BOM,VABB,India,
BOO,ENBO,Norway,
BOP,FEFO,Central African Republic,
BOT,,Papua New Guinea,
BOU,LFLD,France,
BOV,,Papua New Guinea,
BOX,BOCH,Australia,Northern Territory
BOY,DFOO,Burkina Faso,
BOZ,FEGZ,Central African Republic,
BPB,,Papua New Guinea,
BPC,FKKV,Cameroon,
BPD,,Papua New Guinea,
BPG,SBBW,Brazil,
BPH,RPMF,Philippines,
BPK,,Papua New Guinea,
BPL,ZWBL,China,Xinjiang
BPM,VOHY,India,
BPO,,China,Xinjiang
BPS,SBPS,Brazil,
BPU,,Japan,
BPX,ZUBD,China,Sichuan
BPY,FMNQ,Madagascar,
BQA,RPUR,Philippines,
BQB,,Australia,Western Australia
BQE,GGBU,Guinea-Bissau,
BQG,,Russia,
BQH,EGKB,United Kingdom,Channel Islands
BQI,,Namibia,
BQJ,UEBB,Russia,
BQL,YBOU,Australia,South Australia
BQQ,SNBX,Brazil,
BQS,UHBB,Russia,
BQT,UMBB,Belarus,
BQU,TVSB,Saint Vincent and the Grenadines,
BQW,YBGO,Australia,Northern Territory
BRA,SNBR,Brazil,
BRB,SBRR,Brazil,
BRC,SAZS,Argentina,
BRE,EDDW,Germany,
BRF,,United Kingdom,Isle of Man
BRH,,Papua New Guinea,
BRI,LIBD,Italy,
BRJ,,Australia,Victoria
BRK,YBKE,Australia,New South Wales
BRM,SVBM,Venezuela,
BRN,LSZB,Switzerland,
BRP,,Papua New Guinea,
BRR,EGPR,United Kingdom,
BRS,EGGD,United Kingdom,Channel Islands
BRT,YBTI,Australia,Northern Territory
BRU,EBBR,Belgium,
BRV,,Germany,
BRX,MDBH,Dominican Republic,
BRZ,,Italy,
BSA,HCMF,Somalia,
BSB,SBBR,Brazil,
BSC,SKBS,Colombia,
BSD,ZPBS,China,Yunnan
BSE,WBGN,Malaysia,
BSG,FGBT,Equatorial Guinea,
BSH,,United Kingdom,Channel Islands
BSJ,YBNS,Australia,Victoria
BSL,_BSL,Switzerland,
BSM,OINJ,Iran,
BSN,FEFS,Central African Republic,
BSO,RPUO,Philippines,
BSP,,Papua New Guinea,
BSR,ORMM,Iraq,
BSS,SNBS,Brazil,
BST,OABT,Afghanistan,
BSV,,Madagascar,
BSY,HCMD,Somalia,
BTA,FKKO,Cameroon,
BTC,VCCB,Sri Lanka,
BTD,,Australia,Northern Territory
BTE,GFBN,Sierra Leone,
BTG,FEGF,Central African Republic,
BTH,WIKB,Indonesia,
BTJ,WITT,Indonesia,
BTK,UIBB,Russia,
BTO,,Suriname,
BTQ,,Rwanda,
BTS,LZIB,Slovakia,
BTU,WBGB,Malaysia,
BTW,WAOC,Indonesia,
BTX,YBEO,Australia,South Australia
BUA,AYBK,Papua New Guinea,
BUC,YBKT,Australia,Northern Territory
BUD,LHBP,Hungary,
BUG,FNBG,Angola,
BUI,WAJB,Indonesia,
BUK,,Yemen,
BUL,AYBU,Papua New Guinea,
BUN,SKBU,Colombia,
BUO,HCMV,Somalia,
BUP,VIBT,India,
BUQ,FVBU,Zimbabwe,
BUS,UGSB,Georgia,
BUV,,Uruguay,
BUW,WAWB,Indonesia,
BUY,KBUY,Australia,Western Australia
BUZ,OIBB,Iran,
BVA,LFOB,France,
BVB,SBBV,Brazil,
BVE,LFBV,France,
BVG,ENBV,Norway,
BVH,SBVH,Brazil,
BVI,YBDV,Australia,South Australia
BVK,,Bolivia,
BVL,,Bolivia,
BVM,SNBL,Brazil,
BVS,SNVS,Brazil,
BVV,UHSB,Russia,
BVZ,YBYS,Australia,Northern Territory
BWA,VNBW,Nepal,
BWB,YBWX,Australia,Western Australia
BWE,EDVE,Germany,
BWF,EGNL,United Kingdom,Isle of Man
BWH,WMKB,Malaysia,
BWJ,,Papua New Guinea,
BWK,LDSB,Croatia,
BWN,WBSB,Brunei,
BWO,UWSB,Russia,
BWP,,Papua New Guinea,
BWQ,YBRW,Australia,New South Wales
BWT,YBUI,Australia,Tasmania
BWU,YSBK,Australia,New South Wales
BWW,MUBR,Cuba,
BXB,WASO,Indonesia,
BXD,WAKE,Indonesia,
BXE,,Senegal,
BXF,,Australia,Northern Territory
BXG,YBDG,Australia,Victoria
BXH,,Kazakhstan,
BXJ,UAAR,Kazakhstan,
BXM,,Indonesia,
BXN,LTBV,Turkey,
BXO,LSZC,Switzerland,
BXP,EPBP,Poland,
BXR,OIKM,Iran,
BXT,WRLC,Indonesia,
BXU,RPWE,Philippines,
BXV,BIBV,Iceland,
BXX,,Somalia,
BXZ,,Papua New Guinea,
BYB,,Oman,
BYC,SLYA,Bolivia,
BYD,,Yemen,
BYF,,France,
BYJ,LPBJ,Portugal,
BYL,,Liberia,
BYM,MUBY,Cuba,
BYN,ZMBH,Mongolia,
BYO,SJDB,Brazil,
BYQ,WALV,Indonesia,
BYR,,Denmark,
BYT,EIBN,Ireland,
BYU,EDQD,Germany,
BYV,,Sri Lanka,
BYX,,Australia,Northern Territory
BZA,MNBZ,Nicaragua,
BZB,,Mozambique,
BZC,SBBZ,Brazil,
BZD,YBRN,Australia,Victoria
BZE,MZBZ,Belize,
BZG,EPBY,Poland,
BZH,,Zimbabwe,
BZI,LTBF,Turkey,
BZK,UUBP,Russia,
BZL,VGBR,Bangladesh,
BZM,,Madagascar,
BZO,LIPB,Italy,
BZP,,Australia,Northern Territory
BZQ,,Italy,
BZR,LFMU,France,
BZY,,Moldova,
BZZ,EGVN,United Kingdom,Channel Islands
CAA,,Honduras,
CAB,FNCA,Angola,
CAC,SBCA,Brazil,
CAF,SWCA,Brazil,
