codeIataAirport,County,Province/State,Country/Region,LatAirport,LongAirport
BAE,,,France,44.38333,6.666667
BAF,Hampden,Massachusetts,US,42.13333,-72.75
BAG,,,Philippines,16.376667,120.617775
BAH,,,Bahrain,26.26918,50.62605
BAI,,,Costa Rica,9.166667,-83.333336
BAJ,,,Papua New Guinea,-4.833333,149.13333
BAL,,,Turkey,37.916668,41.083332
BAM,Lander,Nevada,US,40.63333,-116.933334
BAN,,,Congo (Kinshasa),-4.313333,20.428057
BAO,,,Thailand,17.385,102.79278
BAQ,,,Colombia,10.886398,-74.77618
BAR,Prince of Wales-Hyder,Alaska,US,55.333332,-133.6
BAT,,,Brazil,-20.55,-48.55
BAU,,,Italy,-22.343056,-49.0525
BAV,,Shanxi,China,40.563328,110.0009
BAW,,,Gabon,-0.666667,146.35
BAX,,,Russia,53.361088,83.547646
BAY,,,Romania,47.65,23.466667
BAZ,,,Brazil,-0.966944,-62.933613
BBA,,,Chile,-45.916668,-71.695
BBB,Swift,Minnesota,US,45.316666,-95.6
BBC,Matagorda,Texas,US,28.983334,-95.96667
BBD,McCulloch,Texas,US,31.133333,-99.333336
BBF,Middlesex,Massachusetts,US,42.5,-71.183334
BBH,,,Germany,54.33972,12.711667
BBI,,,India,20.252853,85.81738
BBJ,,,Germany,49.966667,6.516667
BBK,,,Botswana,-17.816668,25.15
BBM,,,Cambodia,13.116667,103.2
BBN,,,Malaysia,3.683333,115.46667
BBO,,,Somalia,10.419444,45.00639
BBP,,Channel Islands,United Kingdom,50.683334,-1.083333
BBQ,,,Antigua and Barbuda,17.555555,-61.765
BBR,,Guadeloupe,France,16.01639,-61.739445
BBS,,Channel Islands,United Kingdom,51.333332,-0.85
BBT,,,Central African Republic,4.219167,15.788056
BBU,,,Romania,44.495934,26.080996
BBV,,,Cote d'Ivoire,4.666667,-6.95
BBW,Custer,Nebraska,US,41.4,-99.63333
BBX,Montgomery,Pennsylvania,US,40.136665,-75.2675
BBY,,,Central African Republic,5.845833,20.649721
BBZ,,,Zambia,-13.537222,23.11
BCA,,,Cuba,20.35,-74.5
BCB,Montgomery,Virginia,US,37.233334,-80.416664
BCC,Carbon,Montana,US,45.183334,-109.1
BCD,,,Philippines,10.644815,122.93359
BCE,Kane,Utah,US,37.70111,-112.13528
BCF,,,Central African Republic,6.75,18.416668
